Acc-1,Acc-2,Acc-3,Gps-1,Gps-2,Gyr-1,Gyr-2,Gyr-3,Lum-1,MagF-1,MagF-2,MagF-3,Class
0.78290397,-3.5362358,10.6877165,-21.929218,-50.492115,1.8145752,0.8052731,0.30909783,0,18.9,-11.099999,6.0975,0
4.6926355,-6.3338604,-5.469554,-21.929218,-50.492115,-0.7296785,1.3733778,-1.5876387,0,18.2325,-11.325,4.6725,0
-2.885013,-2.6731262,3.6607344,-21.929218,-50.492115,-0.090713486,-1.7536414,-0.4288274,0,20.775,-9.6825,3.3075,0
1.0199299,-11.014524,2.7976246,-21.929054,-50.49202,-0.9098838,-2.0938933,-1.9529362,0,19.6425,-9.8324995,3.4875,0
6.126762,-12.4151325,-6.4547677,-21.929,-50.491993,-2.2153027,-1.4359915,-1.858252,0,17.685,-12.315,7.875,0
7.395689,-10.172963,-0.30765492,-21.928999,-50.49199,-0.39614612,1.8614591,-0.084910266,0,15.7575,-12.787499,7.74,0
-0.25498247,-9.768343,-2.8754363,-21.928995,-50.491974,0.7504479,3.3739614,1.2412782,0,15.195,-12.9375,9.63,0
0.45848963,-7.2328835,0.7026982,-21.928988,-50.491962,1.3918564,0.07895433,0.6072,0,14.46,-11.4825,11.9625,0
0.59376204,-15.99207,2.9747956,-21.928974,-50.491947,1.1646146,0.09056077,1.1795808,0,19.095,-11.01,6.48,0
0.10414778,-25.55092,-0.37588966,-21.92896,-50.49193,-2.0076087,-2.9283352,1.9352211,0,18.9525,-11.662499,6.4725,0
11.500547,-23.026236,-7.5680714,-21.928947,-50.491913,-0.91538155,0.86574876,-2.5595255,0,18.9525,-11.872499,4.7925,0
-3.5122938,-1.2162545,4.7070007,-21.928934,-50.491898,1.2330315,-0.7078401,-0.21013765,0,20.0175,-10.4475,5.3925,0
1.2378023,-5.4180784,3.2620997,-21.92892,-50.491886,-0.93492925,-2.8043296,-1.378112,0,18.7425,-10.5075,5.58,0
-2.3259668,-17.756598,0.2908955,-21.92892,-50.491886,-1.865277,0.045356743,-1.9834795,0,15.509999,-12.45,10.59,0
0.78410107,-22.35945,5.711368,-21.928902,-50.49186,-1.1291844,-0.07498371,-2.652377,0,9,-11.79,15.809999,0
-0.62129533,-19.52232,-2.9963434,-21.92889,-50.491844,-2.4022276,-0.45249844,-2.140472,0,13.3875,-12.6075,12.8475,0
6.467936,-10.716447,-10.320207,-21.928885,-50.491837,-0.24953845,0.23900102,-0.6249151,0,9.915,-11.9325,15.487499,0
9.032125,-9.375694,-2.1894975,-21.928873,-50.491825,0.4034765,0.6397286,0.5002986,0,12.945,-11.3324995,13.799999,0
2.0254946,-8.825027,1.3491327,-21.928846,-50.49181,1.4779885,3.294549,0.8894198,0,17.512499,-11.07,8.5575,0
1.5598224,-9.441534,4.1012673,-21.928831,-50.491802,2.4743097,0.8034405,0.3866777,0,17.6625,-11.535,9.105,0
-0.22505496,-4.2317514,9.564836,-21.928831,-50.491802,1.1432343,-0.7377725,0.34391713,0,19.74,-11.6025,4.1475,0
0.6344634,-9.537302,-7.867347,-21.928808,-50.49178,-0.7247916,1.281748,-2.624888,0,20.752499,-9.997499,3.27,0
-4.7764325,0.46567222,5.2540755,-21.928804,-50.491768,0.8677341,-1.7176003,-0.30787608,0,20.295,-9.8025,2.2275,0
2.123657,-8.001422,-1.021127,-21.9288,-50.491753,-0.569021,-3.4231362,-1.3585643,0,16.5825,-12.1125,9.6075,0
-0.09935937,-19.833567,5.0505686,-21.9288,-50.491734,-1.6447546,0.012980887,-2.447737,0,13.702499,-12.465,12.675,0
8.511387,-10.923545,1.364695,-21.928808,-50.491695,-0.5561928,1.2988522,0.086132,0,6.2174997,-11.985,17.46,0
5.7664347,-10.170568,1.9812019,-21.928818,-50.49168,1.153619,-0.7060075,0.6450737,0,9.375,-10.372499,17.6775,0
1.3790601,-9.803059,2.657564,-21.928816,-50.49159,1.2385293,0.68432176,0.74220127,0,13.62,-11.985,13.0425,0
1.2174516,-8.584411,0.4345476,-21.928812,-50.491573,1.5855007,0.87857693,0.13133603,0,14.902499,-12.8025,11.0025,0
-0.51475334,-2.6048915,13.708002,-21.928808,-50.491554,1.1749994,-0.072540246,0.2932153,0,12.344999,-14.594999,12.952499,0
-2.2505496,-1.0522517,0.062249243,-21.928804,-50.491512,-0.27458394,1.4454598,-0.47769663,0,13.6725,-13.41,11.6925,0
-3.027468,-3.881001,-0.6488287,-21.928802,-50.491497,2.268448,-0.87766063,0.64996064,0,13.2525,-13.514999,11.73,0
-2.7222073,-3.8630445,4.0880995,-21.928795,-50.491486,-0.4596761,-1.973553,-0.9975429,0,9.599999,-14.3475,13.1325,0
-1.1324574,-14.170083,1.7597382,-21.92878,-50.491463,-1.5066991,-1.3052663,-1.9052887,0,4.29,-14.325,16.275,0
5.783194,-11.585542,-10.254366,-21.92872,-50.491444,-1.2538009,-0.10369437,-1.5082263,0,2.625,-12.195,18.8325,0
6.530185,-10.068815,-0.34476504,-21.928707,-50.49144,-0.44806966,1.8865047,-0.076358154,0,3.5925,-11.662499,18.637499,0
0.7553706,-10.201694,3.9480386,-21.928692,-50.491436,1.3008375,1.7453947,0.79290307,0,9.24,-11.639999,15.75,0
1.9033904,-8.841787,2.0350714,-21.928677,-50.491436,2.245846,2.6244297,0.44837508,0,11.6025,-14.497499,12.599999,0
0.93972415,-2.2050598,14.978126,-21.928637,-50.49143,2.1413882,1.5462526,0.6310238,0,12.12,-15.21,12.2625,0
-2.8263552,-1.1659763,-2.3259668,-21.928621,-50.491425,0.21838433,1.7472273,-0.9621128,0,14.205,-12.952499,11.8125,0
-5.4791307,-7.6770077,-1.4748282,-21.928608,-50.491425,2.410169,-0.73655075,2.5558603,0,11.287499,-13.5525,13.8075,0
-2.585738,-3.5458126,3.834314,-21.928572,-50.491425,-0.16646078,-1.8446603,-0.7275405,0,9.6375,-14.527499,12.69,0
0.090979666,-12.248735,2.2589293,-21.928505,-50.491394,-0.3857614,-1.8971947,-2.090381,0,4.005,-13.867499,16.335,0
6.775591,-12.719196,-10.893618,-21.9285,-50.491383,-2.3154848,0.48762318,-1.8625281,0,2.625,-11.617499,18.6525,0
2.1296425,-8.731653,2.2337902,-21.928492,-50.491356,1.2030991,1.5957327,0.74036866,0,5.8725,-12.105,18.045,0
0.7733272,-9.095572,-6.184223,-21.928492,-50.491325,0.9728029,-0.549626,0.73792523,0,12.997499,-13.8975,12.599999,0
-0.33638534,-4.7285485,1.9033904,-21.92849,-50.491314,0.8738427,0.47540587,1.4147639,0,15.33,-13.1025,10.934999,0
-1.0594343,-5.5162406,-2.9724014,-21.92849,-50.4913,0.28069258,1.3098478,-0.3371976,0,22.7775,-7.6575,-0.5775,0
-1.9895816,-4.4304705,3.9492357,-21.92849,-50.491287,1.1047498,-1.4097242,-0.32742378,0,22.7325,-7.8374996,0.1275,0
1.9201498,-15.411476,1.6376339,-21.92849,-50.491253,-1.7394388,-0.19349156,-2.3469443,0,19.1325,-10.695,8.7225,0
7.358579,-10.747571,-7.314286,-21.928478,-50.491177,-1.2055426,-1.3388638,-1.4624114,0,17.2575,-12.105,10.3875,0
-0.31483752,-9.7863,0.10534488,-21.928478,-50.49117,0.7131852,1.8272507,1.5748106,0,18.877499,-11.0025,6.8624997,0
1.8842367,-8.192958,-1.1528081,-21.928478,-50.491154,1.9624046,2.9579623,0.5729916,0,23.1,-7.1025,-3.3975,0
1.5849615,1.5897499,16.959328,-21.928478,-50.49111,2.1762075,2.8583913,0.76174897,0,22.6575,-7.6349998,-2.745,0
11.020511,-15.51323,-6.8210807,-21.928476,-50.491096,-0.73456544,1.0942124,-1.3744467,0,22.6125,-6.0299997,-4.125,0
-3.776853,-2.315193,5.3235073,-21.928476,-50.49109,1.2006557,-1.0682507,-0.093462385,0,22.5225,-5.85,-5.9474998,0
4.7165775,-5.687426,0.90261406,-21.928497,-50.491024,-0.42241332,-3.327841,-1.6206255,0,22.064999,-8.0925,-0.21,0
1.210269,-19.620483,5.6203885,-21.928507,-50.490986,-1.6911805,0.3306308,-2.4489589,0,20.7375,-11.054999,1.7099999,0
7.5549035,-12.151771,-0.7338228,-21.928514,-50.490967,-0.34300083,0.15225816,0.10934488,0,17.9625,-13.5675,5.115,0
1.7585411,-9.0716305,1.8411411,-21.928516,-50.49095,1.0705414,2.196824,1.6200147,0,19.7475,-12.3,1.92,0
3.2381577,-7.6243353,-3.040636,-21.929098,-50.49204,1.7669277,1.2169963,0.44715336,0,21.2775,-7.785,-7.845,0
1.2006922,-4.5406036,6.9108634,-21.92906,-50.49202,1.5109752,1.2921327,0.81183994,0,21.525,-7.7475,-9.12,0
1.3982137,-1.7776948,-1.0785879,-21.929047,-50.492016,0.28680122,2.424066,0.06658431,0,22.0875,-5.7599998,-8.115,0
-5.7616463,-1.7956513,2.7341783,-21.929031,-50.492012,2.291661,-0.12873985,0.752586,0,20.092499,-6.2325,-9.75,0
2.0482395,-5.0745106,4.1252093,-21.929016,-50.492004,-0.1731803,-2.6375635,-1.3335189,0,21.8325,-6.54,-5.1974998,0
0.9744401,-20.350714,-5.0637364,-21.92886,-50.491817,-2.037541,-0.17211129,-2.5185974,0,21.1875,-9.6825,0.65999997,0
9.91439,-9.848549,-0.88944596,-21.928814,-50.491783,-0.732122,-1.6461291,-1.8545868,0,19.0425,-13.7175,2.8574998,0
6.51582,-9.878476,2.1308396,-21.928802,-50.49171,0.93431836,-0.88254756,0.8454375,0,18.63,-12.997499,3.0149999,0
3.4320881,-7.4986396,2.6539726,-21.928822,-50.491665,0.4437936,4.3360744,0.6731735,0,19.717499,-9.7575,2.6325,0
-4.27365,-17.498024,1.3874398,-21.928822,-50.491646,0.57451874,-0.4005749,1.7641789,0,21.24,-10.53,2.5349998,0
-13.132196,-15.856798,-8.048109,-21.928822,-50.49163,-1.1120802,1.5248724,2.388483,0,19.185,-10.0125,9.1575,0
-2.9592333,-4.247314,3.1160536,-21.92882,-50.491615,1.9727893,0.5010622,0.48624873,0,18.2775,-11.19,12,0
0.8762778,-5.046977,3.892972,-21.928818,-50.4916,-0.57818395,-1.8978056,-1.3524556,0,13.049999,-10.9875,15.2175,0
-0.130484,-14.621389,-1.0546459,-21.928806,-50.491535,-2.5677722,-1.2136365,-1.5864171,0,12.5925,-4.2,24.359999,0
12.880805,-7.0688806,-4.320337,-21.928806,-50.491524,-2.716823,2.4008532,-1.8680259,0,8.4,-7.8975,21.3,0
2.8550856,-15.38514,-4.2880154,-21.928787,-50.491474,0.5757405,-0.61498857,-0.38973203,0,6.2999997,-9.3975,22.4025,0
5.329493,-17.51598,2.231396,-21.92877,-50.491455,-0.24465153,-2.6510024,-4.212527,0,0.9975,-6.6,23.699999,0
6.870162,-10.0269165,-1.271321,-21.92876,-50.491447,-0.8072584,-0.45005497,-0.86498517,0,9.6449995,-9.3375,16.9125,0
3.0442274,-5.864597,7.1885905,-21.928741,-50.491447,-1.7278323,-0.7530441,-3.0763173,0,7.1025,-11.0025,7.2974997,0
11.774684,-6.3446345,0.39624038,-21.928728,-50.491447,1.2922854,-3.006526,0.4886922,0,3.0974998,-12.3975,7.2974997,0
-31.133001,-28.822598,-38.655582,-21.92866,-50.491432,-0.12003502,-1.8990273,1.409877,0,8.1525,-15.5925,15.6375,0
-1.0307038,-2.9819782,-2.0135236,-21.928646,-50.491432,0.6844745,1.7686076,0.6908886,0,13.7775,-19.252499,11.61,0
-4.477157,-2.3235726,1.9680338,-21.928595,-50.49142,2.3631322,-1.0175488,0.88270026,0,9,-10.7625,17.25,0
2.5139117,-5.792771,3.1783028,-21.928583,-50.491425,-0.20311269,-2.698039,-1.4947872,0,6.3375,-15.6375,16.9425,0
0.11492168,-20.569784,-2.4001873,-21.92856,-50.491425,-2.4376578,-0.40424007,-2.334727,0,3.2024999,-13.1925,18.2325,0
10.377667,-10.741586,2.2780828,-21.928549,-50.49142,-0.47861293,-0.3987423,-0.7098254,0,0.6975,-11.025,18.3975,0
0.6631939,-10.424355,1.4053963,-21.928535,-50.491417,0.9593639,1.0215194,1.3634512,0,1.65,-11.7675,22.425,0
3.5350387,-8.447941,1.8339585,-21.928522,-50.491413,1.6380352,0.034972034,0.43004912,0,6.5175,-18.4725,17.505,0
-2.3882163,-2.2601264,5.380968,-21.928513,-50.491405,1.5262468,2.0117319,0.79045963,0,7.4775,-21.525,9.5025,0
23.026236,-26.263195,-6.003461,-21.928495,-50.491375,-0.3313944,1.1736249,-2.787378,0,13.9574995,-13.844999,12.0824995,0
-0.5231331,-5.66109,3.0777464,-21.928492,-50.491367,-0.37659842,-1.8452712,-0.82650065,0,11.6925,-13.11,16.17,0
0.82240826,-15.667656,4.4017396,-21.928493,-50.491344,-1.2770138,0.40759984,-2.1429152,0,4.4925,-11.985,21.81,0
6.847417,-10.230424,-4.985925,-21.928493,-50.491337,-0.35216382,0.4729624,0.37873647,0,4.245,-9.974999,22.5375,0
3.4249055,-8.72088,3.2190042,-21.92849,-50.491272,1.7486018,3.149163,0.3817908,0,18.9,-11.6025,20.564999,0
-7.1993647,-18.312052,-6.8689647,-21.928488,-50.491245,-1.2281445,0.26221392,1.3341297,0,11.3324995,-17.955,19.6425,0
-3.2740707,-4.7165775,2.4756045,-21.928486,-50.49123,1.3014483,-0.24724771,-0.013439035,0,10.4475,-15.5025,15.6375,0
0.7074866,-15.184027,3.90614,-21.928482,-50.49121,-1.1242975,0.077121735,-2.1948388,0,3.99,-14.219999,18.0075,0
3.107674,-10.54167,-1.3994108,-21.928478,-50.491196,0.25259277,1.7557794,0.49418998,0,12.12,-11.5425,16.8375,0
-1.4065934,-8.091205,0.94092125,-21.928478,-50.491135,2.0228803,1.929876,0.86193085,0,14.6025,-14.902499,12,0
1.4688427,-8.991425,11.743559,-21.928478,-50.491123,1.2330315,-2.5282185,0.47403142,0,14.197499,-14.0025,15.9,0
-4.909311,-3.7253778,0.090979666,-21.928476,-50.491074,1.1242975,-0.27840182,1.6865989,0,8.415,-15.165,19.4925,0
1.8722657,-14.9625635,5.3438582,-21.928484,-50.49106,-1.7767016,-0.18066339,-2.7134633,0,3.375,-14.415,20.085,0
4.960786,-9.642648,1.2904748,-21.92849,-50.491047,-0.31795537,0.10705414,-0.5155703,0,4.3575,-11.992499,18.2025,0
0.4405331,-8.701726,2.457648,-21.928495,-50.49104,1.4205672,1.3245085,0.3359759,0,11.3775,-13.755,13.5675,0
-1.4879963,-11.452663,-2.4037786,-21.928497,-50.491016,-0.089491755,-0.4457789,-0.15332718,0,9.795,-10.995,16.5,0
5.345055,-6.9288197,-0.4261679,-21.928503,-50.491,-0.21838433,-0.68401635,-1.5503759,0,12.165,-5.9775,15.8175,0
8.531737,-8.149862,1.8267759,-21.928505,-50.490997,-0.45478916,0.25060746,0.31031954,0,11.7,-2.3025,17.3025,0
8.859743,-5.407305,-1.7896658,-21.928513,-50.490974,-0.38148534,-0.5850562,-0.81061816,0,14.197499,-6.5025,15.299999,0
