Acc-1,Acc-2,Acc-3,Gps-1,Gps-2,Gyr-1,Gyr-2,Gyr-3,Lum-1,MagF-1,MagF-2,MagF-3,Class
4.2640734,-9.390059,0.44891283,-21.928328,-50.492073,0.6461427,1.0552697,1.1811843,1,18.3,-9.9375,-1.2825,0
-4.8267107,-5.85502,8.931569,-21.929062,-50.49252,0.59483004,-1.8848248,0.58864504,0,18.637499,-4.545,-8.13,0
38.033092,-21.40895,-11.196485,-21.929035,-50.49253,0.3462079,1.1676689,0.37789652,0,18.3,-1.7025,-10.2,0
1.5263035,-5.2480903,3.406949,-21.929012,-50.492542,0.71578133,-1.1743884,-0.60559654,0,17.887499,-1.56,-9.809999,0
2.7365725,-12.628217,1.9524715,-21.928972,-50.49256,-2.1815524,0.087659165,-2.8829021,2,18.045,-1.4549999,-6.87,0
10.058042,-9.466674,-5.695806,-21.928947,-50.49256,-0.17730364,0.6423248,0.47502407,1,19.252499,-7.4249997,-4.02,0
3.028665,-8.968679,-1.6903064,-21.928936,-50.49256,0.8703303,1.88849,0.9319513,1,18.1875,-9.3975,-2.2875,0
11.801021,-15.102624,-10.274716,-21.928907,-50.492565,2.0993912,2.1835377,1.463404,1,18.9975,-2.4975,-9,0
-2.8000188,-3.8989575,0.8846575,-21.928896,-50.492565,-0.8174904,-1.1908818,-1.4925729,0,18.8625,-0.6525,-7.7774997,0
1.043872,-16.220716,-4.724957,-21.928886,-50.49257,-0.0936151,-2.169488,-1.1333841,1,18.4425,-1.41,-7.7774997,0
7.0964136,-8.948329,2.1631613,-21.928871,-50.49257,-0.27015516,0.47128254,-0.15905404,1,18.7125,-6.4725,-4.5975,0
2.4720132,-9.039309,-2.1176715,-21.928865,-50.49257,0.5141958,1.1139128,0.61979914,1,17.715,-8.1675,-5.5425,0
-2.067393,-15.204378,-10.269928,-21.928848,-50.49257,1.7957911,2.0173824,0.96066195,1,18,-2.3999999,-11.0025,0
-0.090979666,-6.981492,1.6639702,-21.928835,-50.492565,1.4256067,-0.024740042,0.31436652,2,18.885,-1.86,-9.4275,0
3.2237926,-14.876372,4.8757915,-21.928822,-50.49256,-1.721571,-0.25503623,-2.4491878,2,18.217499,-2.235,-10.282499,0
6.766014,-9.16261,-4.3634324,-21.928808,-50.492558,-0.5401576,1.0497719,0.13965906,1,19.807499,-8.3475,-2.7975,0
3.9121256,-7.976283,-2.054225,-21.92879,-50.492554,0.5331327,1.8958203,0.81955206,1,19.057499,-10.335,0.12,0
1.567005,-2.0207062,9.062054,-21.92879,-50.492554,0.34132096,2.6459627,1.8958967,1,20.2725,-6.54,-4.5225,0
8.129512,-17.000029,-24.177845,-21.928787,-50.492546,-0.9213375,2.2470677,-0.5836054,0,22.7025,-5.1,-0.0975,0
-0.22146365,-4.6040497,4.226963,-21.928783,-50.49254,1.6742289,-0.21899518,-0.3667482,1,23.115,-4.71,-2.8875,0
1.553837,-25.274391,2.1990743,-21.928774,-50.492535,-0.9414961,0.86345804,-2.892065,1,22.439999,-4.95,-0.7575,0
10.357317,-9.489418,1.2294226,-21.928768,-50.49253,-1.5169312,-1.5036448,-3.151072,0,20.1525,-7.6875,0.3375,0
3.9636009,-11.066,0.14963761,-21.928753,-50.492523,0.0010690142,-0.37293324,0.12133311,0,16.7475,-9.075,9.2925,0
2.7222073,-7.8757267,-0.1388637,-21.928755,-50.49251,0.52946746,1.4608842,0.24045183,0,8.085,-1.92,26.144999,0
-7.740454,-17.737444,-11.027693,-21.928757,-50.492508,1.678505,2.9605584,0.6851617,0,19.1775,-7.875,12.96,0
-3.072958,-6.489484,2.3870192,-21.928755,-50.492493,1.727985,-1.0033462,1.5238798,0,34.2,-5.4449997,7.5975,0
3.7098155,-13.065159,4.2317514,-21.928753,-50.492462,-1.5254833,-0.44623706,-1.7747926,0,30.5325,-7.1099997,8.04,0
4.6363716,-9.215282,0.2645593,-21.928755,-50.492435,-0.6995934,2.1120665,0.24656048,0,22.4475,-10.875,13.1775,0
4.7058034,-5.8095303,0.40581718,-21.928762,-50.492424,1.9112446,1.1377366,0.9563859,0,24.1575,-3.6074998,-1.395,0
1.1971009,-12.069171,-0.22984336,-21.928768,-50.492393,-1.377043,-0.29352075,-0.9366855,0,13.702499,-10.5,14.7,0
6.066907,-10.952275,-3.6008794,-21.92876,-50.49238,-2.0239494,0.5513059,-1.9763781,0,-5.4,-15.674999,14.9325,0
2.3259668,-8.219295,0.45130703,-21.928753,-50.492348,0.10430524,1.3014483,1.4487433,0,-3.2925,-11.925,18.359999,0
-6.867768,-8.182184,4.7058034,-21.928751,-50.492344,0.77320266,-2.7785206,0.8103891,0,11.0025,-10.2,14.7975,0
14.505271,-18.677168,-9.069236,-21.92875,-50.49233,-0.6385069,-0.50854534,1.8073212,0,13.5,-12.5025,13.2,0
2.955642,-5.7269306,3.5661635,-21.92875,-50.49232,0.75426584,-0.9947941,-0.4198935,0,13.5525,-11.3775,14.5575,0
7.6853876,-10.994174,-2.6001031,-21.92875,-50.492313,-2.2169826,-0.6453791,-2.3264039,0,7.9575,-12.99,15.9225,0
2.1057005,-8.724471,1.1911154,-21.928757,-50.49228,0.28023443,1.1933253,1.0504591,0,-4.56,-14.872499,16.6875,0
0.59017074,-9.704897,2.9233203,-21.928757,-50.49222,0.49403727,2.5763242,-0.20670153,0,-8.287499,-15.6375,15.7725,0
8.626308,-16.977283,5.685032,-21.928751,-50.492207,0.75732017,3.3001995,2.8995483,0,2.5349998,-15.719999,17.5875,0
-0.63087213,-10.041282,-8.3868885,-21.928747,-50.49219,-0.43692136,0.2519819,-0.7503716,0,9.24,-14.9175,16.4475,0
3.6128504,-7.4483614,1.0043676,-21.928738,-50.49218,0.33948836,-1.7913623,-1.1089495,0,15.389999,-12.945,13.492499,0
8.859743,-12.674904,-2.846706,-21.928719,-50.492172,-2.424066,-1.2195925,-1.759521,0,8.67,-13.86,17.5875,0
2.955642,-9.263166,-0.06344634,-21.928709,-50.492172,-0.09239337,0.84879726,0.96615976,0,1.8,-12.57,21.3375,0
4.1012673,-10.126276,-1.567005,-21.928696,-50.492176,1.3333662,0.6178902,0.7523569,0,6.7275,-13.245,19.785,0
-2.706645,-5.4288526,-2.9616275,-21.92869,-50.492176,-1.789377,-1.4370605,0.92767525,0,11.947499,-13.335,15.48,0
-2.0254946,-5.4180784,1.0486604,-21.928667,-50.49218,0.8801041,-0.12492194,0.4872414,0,11.872499,-12.42,14.197499,0
4.9823337,-11.631032,-2.814384,-21.928658,-50.492184,-2.0135646,0.046120327,-2.2647066,0,0.9525,-13.304999,18.255,0
3.2082303,-7.8912888,1.5514427,-21.928646,-50.492188,1.1446087,1.325883,1.1726322,0,0.6375,-10.335,19.515,0
3.5230677,-37.134068,18.6221,-21.928635,-50.49219,1.1110111,4.2537603,1.562975,0,-3.12,-17.7375,14.2575,0
-2.528277,-8.571242,-7.8422074,-21.928625,-50.4922,-0.32330042,-0.9275989,-0.771141,0,8.295,-17.595,13.3425,0
1.9524715,-6.4128695,0.33039984,-21.928617,-50.4922,0.43783766,-2.1120665,-1.2048553,0,12.6525,-13.5075,13.1925,0
8.760384,-8.469488,0.37948096,-21.928614,-50.4922,-0.4717407,0.29229903,-0.047876563,0,6.7875,-12.915,17.512499,0
4.9583917,-8.859743,-1.2665327,-21.928606,-50.4922,0.5703954,1.6300939,0.3919464,0,4.2149997,-10.844999,19.852499,0
23.8259,-21.446062,3.2130187,-21.928576,-50.492203,1.3883439,2.6429086,2.1732295,0,14.7975,-12.0975,13.2975,0
-2.44448,-5.9603653,3.3159695,-21.928564,-50.4922,1.5783231,-0.31978795,0.815276,0,19.672499,-9.825,11.1525,0
2.8766334,-15.75265,5.436035,-21.928558,-50.4922,-1.7044667,0.41508293,-2.116877,0,18.93,-9.09,10.8825,0
12.848483,-10.540473,-3.3913867,-21.928537,-50.4922,-0.6042985,0.732122,0.543441,0,15.8925,-13.1325,15.7125,0
1.7286136,-8.571242,7.431602,-21.928526,-50.4922,1.2148583,0.06383542,0.88980156,0,24.585,-4.8599997,-0.03,0
10.844537,-7.9487495,-6.0142345,-21.928516,-50.492203,-0.021533,-0.8536842,0.018096883,0,14.5875,-0.26999998,-3.3225,0
5.801151,-4.1036615,1.541866,-21.928514,-50.492203,0.463494,-1.4932601,-0.66362876,0,28.14,-8.8125,-13.184999,0
4.232949,-11.129447,-6.5361705,-21.9285,-50.492207,-1.8920023,-0.6105598,-2.0979404,0,27.8175,4.11,-0.72749996,0
3.110068,-9.312247,2.1823149,-21.92849,-50.492207,1.0267117,2.0332649,1.0522918,0,19.695,-3.675,15.42,0
-2.6791117,-6.4882865,2.2457612,-21.92848,-50.492207,1.0315987,-2.268448,1.0956632,0,25.335,-5.9925,2.835,0
-2.4037786,-4.4675803,0.36272156,-21.928476,-50.49221,-0.3941608,0.80909103,-0.9244682,0,23.355,-4.785,-15.585,0
0.59376204,-13.668497,3.8414967,-21.928469,-50.49221,-1.6653714,-0.41447207,-1.9647717,0,24.127499,-2.28,-15.434999,0
4.631583,-12.136209,-3.4500446,-21.92846,-50.49221,0.06704246,1.2018774,0.18058704,0,26.3625,0.5925,-0.91499996,0
4.722563,-8.761581,2.2026656,-21.928446,-50.492214,1.4457654,0.6563747,0.4921283,0,26.144999,1.4325,12.48,0
0.25378537,-9.800665,-1.7956513,-21.928438,-50.492218,-0.75701475,0.3930918,-0.15661058,0,20.4525,-0.405,-3.0225,0
-0.8882488,-3.9348705,2.1535845,-21.928432,-50.492218,1.4567609,-1.3313808,0.26610819,0,23.16,-4.0425,-4.9649997,0
2.3630772,-13.450625,4.985925,-21.928411,-50.492218,-2.388025,-0.064446285,-2.6837602,0,26.055,-0.9525,-2.76,0
8.537724,-9.224859,-5.1930237,-21.9284,-50.49222,-0.21762075,1.0827587,0.6491207,0,25.6425,-6.1275,6.0825,0
3.843891,-9.137471,1.6460136,-21.928387,-50.49222,0.980286,1.8603901,0.51473033,0,22.875,-6.795,10.995,0
0.24660277,-15.543158,-3.879804,-21.928375,-50.49222,1.4390458,1.9776763,0.46525025,0,25.5975,-4.5,-3.8999999,0
-3.9432502,-5.267244,0.82240826,-21.928362,-50.49222,1.6412421,-1.3558154,1.0040334,0,23.932499,-2.925,-10.74,0
1.970428,-14.581885,0.9528923,-21.928352,-50.49222,-0.14492778,-3.3111951,-1.4882969,0,23.797499,-0.92249995,-5.73,0
7.9355817,-11.057621,1.541866,-21.928335,-50.49222,-1.372767,-1.5091426,-1.6495652,0,19.7925,-5.4825,3.135,0
2.4887726,-9.31943,1.6651673,-21.92832,-50.49222,0.27168232,2.3185391,1.0865002,0,16.3125,-12.2775,1.6574999,0
-5.8107276,-6.101623,9.127894,-21.928988,-50.49243,0.2875648,-1.1713341,1.2092841,0,24.6,-5.9024997,-9.202499,0
-3.1232362,-3.8893807,0.320823,-21.929068,-50.49252,-0.48456886,-0.038179077,-0.33681583,0,27.1575,2.76,-9.6449995,0
0.92775315,-17.196354,-4.9164934,-21.929,-50.49255,0.053603426,-2.1371121,-1.3960562,0,25.484999,2.7525,-8.25,0
5.619191,-10.996569,4.2940006,-21.928963,-50.49256,-0.38072178,-0.6649268,-0.51030153,0,21.225,-0.1575,-2.715,0
1.6579847,-8.425196,1.3144168,-21.92893,-50.49256,0.980286,1.6099354,0.511676,0,14.0025,-4.9725,-4.3424997,0
1.0342951,-5.207389,11.337742,-21.928926,-50.492565,1.7658587,2.2592852,1.8060994,0,14.4,-6.2025,-6.2999997,0
-3.157952,-3.9516299,2.005144,-21.928919,-50.492565,1.0700831,0.17440203,2.1475732,0,24.33,-3.2925,-7.2374997,0
1.6903064,-18.239029,-5.3618145,-21.928802,-50.492558,-0.21884248,-2.3313673,-1.0551933,0,24.6,3.9075,-1.3275,0
4.673482,-10.7116585,2.5139117,-21.928759,-50.49253,-0.21700987,0.56413406,0.3644575,0,24.765,-1.6125,0.84749997,0
3.8498764,-8.1797905,-2.337938,-21.928753,-50.49248,0.6950119,1.597718,0.8097782,0,19.619999,-11.0175,-2.865,0
5.946,-10.854114,17.897856,-21.928753,-50.49245,1.6974418,1.6856827,0.90446234,0,18.3,-7.4024997,-9.6975,0
-4.5753193,-4.8099513,0.62129533,-21.928766,-50.49241,1.3419182,0.50671273,2.03945,0,26.8575,-5.355,-11.4675,0
1.2844892,-14.176068,0.81283146,-21.928757,-50.49237,-0.036193766,-3.1853569,-1.5157857,0,29.5425,2.5275,-14.407499,0
3.3614593,-14.536396,0.06703765,-21.92875,-50.492302,-1.7447839,-0.75411314,-0.78580177,0,27.39,4.7774997,-7.7925,0
3.9025488,-5.073313,-0.29328972,-21.928751,-50.492294,-0.46929723,0.10415252,0.38950294,0,18.9975,5.4975,-4.7999997,0
-0.90979666,-11.073183,2.554613,-21.928757,-50.492268,2.5935812,-1.5537357,6.077269,0,16.9275,-10.485,-3.0825,0
4.4927197,-5.6239796,-4.10845,-21.92876,-50.492256,-1.3574953,0.18661933,1.2587641,0,16.8,-8.1975,-4.8975,0
-2.1859062,-4.1120415,3.964798,-21.928759,-50.49224,1.5667167,0.56169057,0.9826531,0,24.6525,-7.395,-7.455,0
0.25139117,-13.487736,4.71538,-21.928734,-50.492176,-2.7948613,0.116980694,-1.904296,0,28.199999,-6.3975,-4.7325,0
5.1702785,-10.953473,-1.5286977,-21.928679,-50.492176,-0.25366178,0.8145888,0.31558827,0,23.01,-11.264999,2.685,0
1.3024458,-9.739613,-1.7788919,-21.928642,-50.49219,1.0914634,2.0931299,0.7914523,0,20.925,-11.325,1.2825,0
3.6403837,-15.958551,-6.235698,-21.928598,-50.4922,2.2997549,2.9275718,1.1023827,0,22.102499,-5.0025,-8.7,0
-3.7337575,-4.249708,2.2613235,-21.928583,-50.492203,-1.0294607,-2.4419339,-0.24518603,0,21.7575,-5.0474997,-9.1125,0
1.1719618,-10.55843,-3.8235402,-21.928549,-50.4922,-0.47662762,-2.4156666,-2.3465624,0,20.609999,-8.505,-9.45,0
-0.7350199,-12.640188,5.175067,-21.928507,-50.492203,-0.24816401,-0.3454443,-0.17860173,0,19.8225,-13.447499,-3.7124999,0
2.4983494,-9.270349,2.1404164,-21.928423,-50.492218,1.1995866,1.6869044,-0.13400856,0,20.887499,-11.2275,-2.145,0
7.430405,-7.6363063,-4.3981485,-21.928371,-50.49222,1.9931005,1.1078042,-1.0649672,0,22.8825,6.2925,1.9425,0
5.363012,3.0262709,4.569334,-21.928347,-50.49222,-0.3239113,1.0913107,-0.5414557,66,-9.255,12.0075,0.5475,0
0.4177882,5.4683566,7.6111674,-21.928331,-50.492226,-0.32696563,1.3381003,0.20624338,87,-13.5,9.997499,-3,0
-1.733402,4.5286326,6.003461,-21.928326,-50.492226,-0.12599096,-0.004581489,0.016875152,65,-14.3025,9.0975,-3.6,0
-1.5646108,4.2820296,9.603143,-21.928322,-50.49222,0.25152376,-0.07971791,-0.0081703225,64,-14.197499,9.3975,-3.6,0
-0.94092125,4.3478703,8.619126,-21.928322,-50.49222,0.029168816,-0.0106901415,-0.012446379,64,-14.3025,9.6975,-2.7975,0
-1.5263035,4.675876,8.301894,-21.92832,-50.49222,0.057268616,0.022907447,-0.01488984,65,-14.3025,9.3975,-3.8999999,0
1.5562311,-3.3207579,1.7166426,-21.928326,-50.492218,0.204029,-1.0842859,-0.91583973,0,14.782499,2.5049999,8.684999,2
7.493851,-11.474212,2.7820623,-21.928326,-50.492218,0.2125811,-2.5631905,-0.5487097,0,14.9775,4.0575,13.117499,2
7.4842744,-6.041768,1.1001357,-21.928326,-50.492218,0.9114109,1.2315043,0.68523806,0,20.9025,8.7975,2.3999999,2
5.969942,-5.5844755,-0.9660604,-21.928326,-50.492218,1.4062119,-1.196685,-0.24083363,0,10.7175,9.12,-25.477499,2
7.406463,-6.6750345,-0.39145198,-21.928326,-50.492218,0.20708331,-0.12950343,-0.03191771,0,3.9975,-0.8025,-28.102499,2
6.489484,-7.669825,-0.1448492,-21.928326,-50.492218,0.004886922,0.018936822,0.020616703,0,3.8999999,-2.1,-27.3,2
6.8665705,-7.4471645,-0.31244332,-21.928143,-50.492176,0.018325957,0.01160644,0.0071776668,0,4.2,-2.0025,-27,2
6.551733,-7.475895,-0.31603462,-21.928143,-50.492176,0.0030543262,-0.020158553,0.00045814895,0,4.2,-1.8,-27,2
6.637924,-7.4986396,-0.2813187,-21.928143,-50.492176,0.004886922,-0.0012217305,0.0035124752,0,4.1025,-1.8,-27.3975,2
6.5804634,-7.5692687,-0.28491,-21.928143,-50.492176,0.00061086525,0.017715093,0.0016798794,0,3.9975,-1.7025,-27.3975,2
6.704962,-7.514202,-0.2896984,-21.928164,-50.492195,-0.015882496,0.0061086523,-0.007483099,0,4.1025,-1.5,-27.2025,2
6.5864487,-7.515399,-0.37588966,-21.928164,-50.492195,-0.0061086523,0.010995574,0.0022907446,0,4.1025,-1.5975,-27.2025,2
6.603208,-7.4962454,-0.34596214,-21.928164,-50.492195,-0.0067195175,0,-0.004428773,0,4.2,-1.5,-27.0975,2
6.6283474,-7.501034,-0.30645782,-21.928164,-50.492195,0.011224649,0.0005345071,0.0023671028,0,4.2975,-1.7025,-27.0975,2
6.7229185,-7.4447703,-0.36511576,-21.928164,-50.492195,-0.03642284,0.00786489,-0.02023491,0,4.1025,-1.5,-27.3975,2
6.7121444,-7.4447703,-0.58418524,-21.92818,-50.4922,0.0026725354,-0.014737124,-0.014737124,0,4.5,-1.1999999,-26.797499,2
6.6163764,-7.4926543,-0.545878,-21.92818,-50.4922,0.006948592,-0.004352415,0.0035888334,0,4.2975,-1.1999999,-26.9025,2
6.719327,-7.475895,-0.5614403,-21.92818,-50.4922,0.0020616702,-0.02695443,-0.0031306844,0,4.2,-1.2975,-26.797499,2
6.657078,-7.5201874,-0.46208093,-21.92818,-50.4922,0.005726862,-0.012293663,-7.6358156E-05,0,4.5,-1.1999999,-27.0975,2
6.5002575,-7.6015906,-0.35553896,-21.92818,-50.4922,0.025885414,0.06467536,0.026801713,0,4.2975,-1.1999999,-27.0975,2
6.4583592,-7.6626425,-0.08379706,-21.92819,-50.4922,0.04176791,-0.023289237,-0.008017606,0,4.5,-1.5975,-27,2
6.5577183,-7.621941,-0.35194764,-21.92819,-50.4922,-0.009544769,-7.6358156E-05,-0.0025198192,0,4.7025,-1.5,-27,2
6.4380083,-7.60997,-0.2908955,-21.92819,-50.4922,-0.018096883,0.011530082,-0.017180584,0,4.5,-1.5975,-26.9025,2
7.0581064,-7.2747817,-0.17477672,-21.92819,-50.4922,0.020387627,0.05795584,0.037797287,0,5.7,0,-26.797499,2
6.9360023,-7.171831,0.25019407,-21.92819,-50.4922,-0.24778222,0.25465444,-0.091095276,0,7.7025,1.2975,-27.0975,2
7.517793,-6.6606693,0.8846575,-21.92819,-50.4922,0.16638441,-0.3018438,-0.060552016,0,8.7,0.9975,-28.8975,2
7.6961613,-6.2871737,0.533907,-21.928198,-50.492256,0.110795684,-0.09231701,0.07811439,0,-11.099999,-17.775,-29.4375,2
