Acc-1,Acc-2,Acc-3,Gps-1,Gps-2,Gyr-1,Gyr-2,Gyr-3,Lum-1,MagF-1,MagF-2,MagF-3,Class
-0.349553,4.138378,8.643068,-21.928470,-50.492985,-0.004123,-0.004352,0.007941,7696.000000,-9.802500,16.800000,2.497500,0
-0.264559,4.216189,8.880095,-21.928522,-50.493130,-0.026725,0.036576,0.021380,7586.000000,-9.397500,16.897500,2.002500,0
-0.019154,4.525041,8.319851,-21.929214,-50.492496,0.053909,-0.060552,0.008552,7567.000000,-9.097500,17.197500,2.002500,0
-0.222661,4.189853,8.832211,-21.929207,-50.492490,-0.082314,0.035965,-0.015272,7567.000000,-9.202499,17.100000,2.497500,0
-0.064643,4.247314,8.748413,-21.929197,-50.492496,-0.013897,-0.113086,-0.034819,7573.000000,-8.902500,17.100000,2.400000,0
0.713472,4.095282,9.130288,-21.929169,-50.492500,-0.083536,-0.544968,0.042150,7524.000000,-8.197500,17.400000,2.302500,0
8.501810,1.216255,-3.354277,-21.929157,-50.492504,0.372781,-0.357433,2.047010,7412.000000,14.632500,9.900000,-3.622500,0
-1.867477,-11.208455,0.513556,-21.929136,-50.492508,-2.448806,1.241813,-0.054367,13.000000,11.212500,-6.712500,-8.550000,0
15.003265,-11.608287,7.547721,-21.929087,-50.492530,3.291495,3.800727,-2.514932,4.000000,12.480000,-10.695000,0.330000,0
-4.144363,-9.992201,3.645172,-21.929075,-50.492540,1.088715,3.262555,0.502131,5.000000,16.417500,-5.272500,-0.765000,0
-1.460463,-6.047753,-3.822343,-21.929058,-50.492550,0.024587,-1.027552,1.129490,24.000000,18.000000,1.897500,-3.000000,0
-1.065420,-5.686229,2.992752,-21.929043,-50.492554,2.401464,1.403692,0.534507,31.000000,17.002500,1.132500,-4.312500,0
-2.464831,-8.251617,-10.958262,-21.929020,-50.492560,-1.225243,-1.288391,-1.157590,27.000000,13.987499,2.685000,-10.357500,0
-3.790021,-12.514492,-4.818331,-21.929007,-50.492565,-1.588708,0.775723,-1.150870,29.000000,15.344999,-8.715000,-0.375000,0
6.926426,-8.310274,0.741005,-21.928990,-50.492570,0.689820,-0.330554,0.469755,19.000000,19.020000,-2.955000,0.165000,0
5.620389,-6.032191,-2.519897,-21.928978,-50.492570,0.512669,3.048752,0.649350,8.000000,18.622500,-1.657500,0.495000,0
-0.141258,-4.358644,0.104148,-21.928967,-50.492570,-0.151953,-1.130177,1.773342,8.000000,16.102499,4.402500,-6.000000,0
1.321599,-8.002619,-1.592144,-21.928953,-50.492573,-2.365728,-2.055027,1.486235,8.000000,17.100000,5.602500,-3.600000,0
-0.436942,-4.884172,1.798046,-21.928928,-50.492573,1.995850,0.818483,1.155757,7.000000,16.935000,5.520000,-2.872500,0
2.167950,-7.717709,2.179921,-21.928840,-50.492546,1.626276,-1.089860,-0.817949,11.000000,17.789999,5.542500,-1.612500,0
4.782418,-11.601105,-7.162254,-21.928837,-50.492535,-1.666899,-1.521742,-2.337170,17.000000,17.482500,2.025000,-0.052500,0
3.343503,-8.933964,1.007959,-21.928837,-50.492523,0.151647,0.485562,1.123381,20.000000,16.897500,-2.625000,-1.882500,0
5.474342,-7.908048,4.204218,-21.928831,-50.492490,1.767997,0.191124,1.717142,16.000000,17.715000,-0.787500,-1.275000,0
3.053804,-5.884948,1.377863,-21.928831,-50.492470,-0.088423,-0.733115,1.162477,15.000000,16.500000,5.197500,-5.400000,0
10.357317,-3.026271,-4.740520,-21.928831,-50.492455,0.257327,0.448910,0.513738,14.000000,16.897500,5.902500,-3.900000,0
-0.988805,-4.450821,2.885013,-21.928825,-50.492410,2.250580,1.097038,0.967611,15.000000,16.725000,5.632500,-4.147500,0
2.640805,-8.371326,5.634754,-21.928818,-50.492367,0.055741,-1.108186,-1.613906,20.000000,16.042500,3.465000,-5.745000,0
1.334768,-12.120646,0.436942,-21.928814,-50.492350,-3.367547,2.283949,-3.431841,11.000000,17.437500,-0.555000,-2.280000,0
9.665392,-7.068881,1.763330,-21.928816,-50.492332,0.388663,-0.920039,0.044593,9.000000,18.172499,-1.455000,-0.712500,0
5.482722,-7.677008,-1.924938,-21.928818,-50.492320,-0.739605,1.195387,0.825890,7.000000,17.880000,-3.382500,2.062500,0
5.303157,-9.467871,3.311181,-21.928818,-50.492302,1.662928,2.291279,1.163087,11.000000,15.809999,-0.232500,-2.182500,0
3.350685,-7.028179,1.642422,-21.928804,-50.492256,0.197462,-0.708069,0.822836,16.000000,15.697499,3.802500,-6.097500,0
12.041637,-3.800795,-5.023035,-21.928800,-50.492240,-1.022436,-2.657951,-0.003665,8.000000,18.397500,3.202500,-1.402500,0
2.057816,-6.167464,1.116895,-21.928799,-50.492233,1.597565,-1.722106,-3.225369,7.000000,19.920000,-0.030000,3.427500,0
-2.146402,-5.190630,3.263297,-21.928795,-50.492218,1.588402,2.380466,0.535118,6.000000,18.930000,-0.135000,6.315000,0
2.244564,-5.516241,3.083732,-21.928790,-50.492207,1.249372,-2.309758,0.616974,3.000000,17.257500,-0.210000,-6.900000,0
2.919729,-9.900024,-0.379481,-21.928770,-50.492184,2.303115,-3.388546,-1.701871,4.000000,16.777500,-1.882500,5.032500,0
4.235343,-7.730877,-1.772906,-21.928760,-50.492176,-2.585640,-0.836962,-5.525276,5.000000,12.502500,-3.375000,17.699999,0
9.358934,-8.204929,-3.512294,-21.928740,-50.492165,0.203571,0.215559,0.466701,3.000000,11.737500,-5.827500,20.467499,0
4.942830,-6.476316,-2.607286,-21.928663,-50.492157,0.427758,-0.430126,0.676839,3.000000,6.022500,-7.245000,21.824999,0
3.987543,-13.469779,20.342335,-21.928612,-50.492160,2.666580,1.675527,1.143540,5.000000,6.112500,-7.920000,22.792500,0
4.338294,-7.274782,0.763750,-21.928600,-50.492165,-0.478155,0.575970,1.435533,3.000000,12.000000,-8.602500,17.902500,0
10.743980,-8.003817,-6.578069,-21.928595,-50.492165,-2.089006,0.590630,2.037847,3.000000,9.532499,-10.687500,17.197500,0
-0.190339,-3.739743,2.076970,-21.928549,-50.492160,2.086868,0.874072,1.404379,4.000000,10.492499,-9.727500,16.762499,0
3.001132,-4.533421,2.036269,-21.928540,-50.492157,0.862084,-0.850401,-0.251066,5.000000,9.127500,-9.517500,18.442500,0
0.907402,-21.915325,0.365116,-21.928532,-50.492157,-0.151342,-1.455768,-1.252274,5.000000,8.602500,-10.485000,17.137499,0
9.452309,-10.008960,-0.700304,-21.928488,-50.492157,-1.966833,-1.336039,-1.484403,4.000000,1.687500,-11.542500,21.164999,0
3.997120,-9.127894,-0.709881,-21.928476,-50.492160,0.065515,1.728061,0.988380,4.000000,-1.830000,-9.832500,23.467499,0
8.815451,-10.524911,1.416170,-21.928430,-50.492170,0.587805,2.189265,1.073901,4.000000,1.830000,-10.252500,21.937500,0
3.307590,-11.942278,0.745794,-21.928423,-50.492172,-0.250913,0.112934,1.268156,5.000000,9.997499,-10.800000,17.902500,0
20.347122,-16.852785,-11.301829,-21.928408,-50.492176,-0.287565,0.618730,-0.064141,7.000000,9.780000,-10.192500,18.630000,0
0.495600,-6.566098,3.132813,-21.928394,-50.492180,1.780825,-0.315283,-0.012217,6.000000,11.227500,-8.197500,18.007500,0
1.982399,-13.819332,-5.324705,-21.928377,-50.492188,0.975094,-3.022638,-1.671327,4.000000,8.220000,-11.692500,18.667500,0
4.316746,-12.619837,-7.621941,-21.928366,-50.492190,-2.275931,-1.598711,-2.258980,4.000000,1.462500,-12.532499,20.752499,0
0.919373,-9.722853,3.778050,-21.928356,-50.492190,-0.450666,-0.094150,0.448375,6.000000,1.815000,-11.017500,22.582499,0
4.246117,-3.768473,-2.014721,-21.928345,-50.492195,0.082009,3.985819,0.280387,6.000000,0.127500,-9.570000,22.267500,0
0.286107,-11.350910,0.088585,-21.928333,-50.492200,1.366658,-2.149100,2.657875,5.000000,9.502500,-10.402500,18.202500,0
-7.044939,-15.641319,-2.863465,-21.928324,-50.492203,-0.256411,2.357253,-0.546724,4.000000,8.760000,-11.625000,17.685000,0
-2.790442,-3.250129,1.278504,-21.928316,-50.492207,1.613448,0.927217,1.079399,5.000000,11.804999,-8.767500,16.440000,0
4.406528,-7.114370,2.159570,-21.928308,-50.492207,0.746630,-2.978655,-2.086716,5.000000,10.312500,-9.382500,16.657500,0
4.850653,-8.899248,-3.116054,-21.928297,-50.492190,-2.522110,-0.034896,-3.291953,3.000000,4.545000,-10.755000,19.762499,0
4.230555,-9.545682,3.949236,-21.928295,-50.492190,1.351387,-1.436221,0.682947,4.000000,1.552500,-11.250000,20.482500,0
7.545327,-5.239710,-3.001132,-21.928290,-50.492190,0.686154,0.007865,0.483194,5.000000,0.517500,-9.795000,22.365000,0
-0.709881,-8.872911,-0.059855,-21.928278,-50.492188,0.503506,-3.010420,2.095268,4.000000,11.902500,-8.602500,16.800000,0
7.558495,-4.848259,-2.457648,-21.928259,-50.492184,-0.023671,0.329791,0.713491,2.000000,18.052500,-4.192500,11.887500,0
-2.403779,-4.708198,1.001973,-21.928242,-50.492184,1.400867,-0.736780,0.166766,1.000000,22.890000,1.867500,5.662500,0
3.187880,-7.985860,-0.717063,-21.928232,-50.492184,-0.503811,-1.295111,-1.399492,3.000000,15.045000,4.252500,3.052500,0
3.201048,-7.357382,-5.647922,-21.928171,-50.492207,-2.630233,0.750677,-3.087313,1.000000,11.782499,-5.947500,4.710000,0
5.462371,-9.532514,4.201824,-21.928150,-50.492207,-0.476933,-0.048946,0.486860,4.000000,26.055000,-12.457500,4.350000,0
7.781156,-6.833052,0.562637,-21.929178,-50.492504,0.871247,1.126359,0.608422,6.000000,18.240000,5.265000,14.880000,0
-1.731008,-9.039309,-1.698686,-21.928060,-50.492245,-0.798248,0.254654,1.628567,5.000000,21.202500,0.802500,12.202499,0
39.221813,-11.574768,-6.369773,-21.929222,-50.492477,-0.156229,-0.005574,0.003665,3.000000,22.590000,0.862500,0.922500,0
1.420959,-5.092467,2.552219,-21.928034,-50.492260,1.599398,0.483118,-0.196699,3.000000,16.507500,2.332500,-13.987499,0
0.712275,-17.925388,-4.849455,-21.929232,-50.492490,-0.071319,-1.882152,-1.009760,4.000000,18.367500,7.867500,2.220000,0
