X,Y,C
17.85,0.28,1
14.70,0.28,1
15.04,0.26,1
14.26,0.30,1
18.00,0.28,1
21.06,0.68,1
15.64,0.42,1
17.00,0.30,1
12.76,0.28,1
15.19,0.15,1
19.98,0.30,1
16.32,0.32,1
14.40,0.14,1
12.90,0.11,1
23.20,0.24,1
22.40,6.58,2
20.48,6.75,2
21.39,7.35,2
12.65,5.20,2
18.20,6.90,2
15.96,5.85,2
20.79,7.52,2
11.76,3.30,2
19.14,5.98,2
14.04,5.46,2
10.00,3.50,2
17.70,6.30,2
13.20,4.00,2
17.69,6.58,2
16.24,4.68,2
20.79,15.00,3
15.66,9.69,3
21.30,12.39,3
18.27,10.08,3
19.50,12.76,3
22.80,13.86,3
12.25,7.65,3
21.17,11.34,3
16.75,10.44,3
25.92,15.25,3
20.80,10.20,3
17.28,10.07,3
20.40,11.55,3
14.25,10.00,3
16.24,12.24,3

