@relation wilt-training

@attribute GLCM_pan real
@attribute Mean_Green real
@attribute Mean_Red real
@attribute Mean_NIR real
@attribute SD_pan real
@attribute class {w, n}

@data
120.3628,205.5000,119.3953,416.5814,20.6763,w
124.7396,202.8000,115.3333,354.3333,16.7072,w
134.6920,199.2857,116.8571,477.8571,22.4967,w
127.9463,178.3684,92.3684,278.4737,14.9775,w
135.4315,197.0000,112.6905,532.9524,17.6042,w
118.3480,226.1500,138.8500,608.9000,29.0728,w
135.4363,184.5000,95.1429,309.1905,13.0553,w
121.1696,226.0000,146.2143,595.5714,22.8085,w
131.1272,232.7843,144.5882,563.8431,11.9486,w
134.4981,210.2121,116.9091,594.8485,27.9377,w
131.1648,206.6818,114.7273,483.0455,22.9035,w
136.0960,201.4000,111.4000,444.6000,16.5536,w
122.6319,230.5610,142.1951,473.7073,24.5219,w
113.6562,213.1071,129.7857,480.8571,29.2378,w
133.8942,191.6216,115.5135,419.5135,17.4891,w
131.1115,213.6667,125.4444,537.8889,19.4348,w
127.8357,201.3585,116.5094,372.1321,23.9291,w
121.6113,199.7447,121.0638,338.1277,15.0191,w
106.2421,221.7500,140.0000,381.1667,18.9033,w
147.7711,220.1111,123.7222,479.1667,23.3370,w
135.8239,192.2329,115.0959,332.4247,12.8057,w
134.9590,226.6735,141.4694,435.9592,17.6061,w
128.5314,188984.0000,93312.0000,296616.0000,16.9325,w
143.5287,170.3636,78.4545,400.0000,10.8323,w
141.1094,164625.0000,68.0000,242.5000,6.7535,w
140.0260,189.8966,89.2414,561.3103,23.8376,w
132.5877,222.3922,133.0588,579.2157,19.8327,w
121.7579,174.0000,92.6667,217.7778,14.0554,w
135.6772,199.7500,105.2083,453.3333,16.1851,w
119.4574,180.7419,93.1452,227.7742,12.2933,w
124.5919,179.4167,89.0833,208.0833,20.3526,w
126.5280,178.7778,85.1111,359.7778,11.0805,w
135.0245,190.8776,104.5510,270.6531,14.3299,w
142.5658,183.4167,89.7639,240.2639,11.2987,w
124.6110,180.8261,93.4348,242.6087,9.8037,w
130.8497,175.3333,83.4028,342.2778,21.1717,w
133.8542,166.4074,78.7407,254.3704,14.1751,w
119.7146,231.8333,153.5152,591.0152,25.3860,w
123.2785,218.2600,129.6800,600.2200,29.8949,w
117.6393,215.5641,131.2051,504.0769,22.1942,w
138.5127,202.0448,118.5373,445.9254,20.0849,w
118.5783,198.5676,117.0676,429.1351,33.4210,w
134.0640,183.4636,95.5909,236.6818,18.0037,w
117.6507,236.4861,155.4583,541.5417,18.5118,w
135.2843,234.6512,149.8372,587.0000,22.0669,w
123.3024,207.7544,120.6667,436.0877,18.2845,w
128.0961,199.2000,118.4000,403.3333,21.4059,w
119.6356,200.6518,118.8214,312.5179,21.8718,w
119.5065,224.2414,131.5862,592.2414,27.4108,w
132.2796,213.5088,126.2105,503.6316,26.6669,w
123.7523,222.0182,134.6727,510.0364,21.5872,w
123.9973,221.6714,156.2429,493.4143,24.4392,w
130.0105,184.8704,103.1667,319.7778,21.7323,w
122.7978,202.3429,132.4857,322.2857,15.8354,w
132.4048,201.3056,125.4074,373.8056,23.2203,w
127.8072,202.7120,120.7228,415.8043,27.2590,w
122.1594,195.1500,128825.0000,323975.0000,28.9481,w
126.4322,206.4229,128.5991,403.0617,23.3686,w
128.3688,211.3545,140.6508,411.3016,24.8421,w
126.7397,203.3913,129.9043,390.8174,20.6358,w
128.5811,200.8710,119.3226,436.5565,24.0336,w
136.3594,210.3058,118.4220,462.5688,21.6096,w
128.9731,202625.0000,118.7593,427.4954,21.3035,w
131.5998,209.5602,117.2361,566.0093,36.4421,w
122.6654,218.2677,136.5866,498.6339,26.6497,w
132.4555,198.8657,113.8060,323.0597,18.6577,w
129.2080,188.6887,110.6509,327.7170,19.0054,w
124.5905,197.3252,120.6423,398.8537,18.6756,w
129.3601,207.2619,123.9456,464.7245,26.6404,w
141.5742,199.2444,127.3333,364.1778,15.2193,w
127.2188,190.3150,110.1024,383.3937,19.6665,w
118.1226,217.8941,134.2353,443.1118,18.3760,w
138.6143,213.6032,126.1111,421.0000,18.3049,w
134.3015,210.6000,125.6714,436.1905,21.0341,w
142.8677,228.6786,104.3929,674.9643,32.3995,n
143.4973,211.6087,95.7391,612.3478,29.5301,n
135725.0000,238.9167,107.5833,741.2708,20.8411,n
112.8246,236.9200,108.0400,705.8400,22.6707,n
111.2075,233.1000,105575.0000,729775.0000,23.6738,n
124.9552,226.6957,100.5652,686.4348,27.8711,n
115.8499,235.8936,107.1064,757.2128,19.6016,n
124.9702,218.0952,97.4286,595.8571,40.7810,n
130.7118,169.5267,69.4011,187.6845,8.8757,n
113.4651,244.2593,107.5556,735.5185,34.5754,n
130.1184,230.2308,104.1923,689.3462,16.0233,n
120.4139,216.3158,104.8947,617.3158,29.4039,n
127.2232,219.4286,100.5714,588.8571,17.2745,n
128.9453,196.0000,93.0000,437.0000,27.3359,n
133.3594,166.0000,84.0000,247.0000,14.1018,n
127.3958,200.3333,99.1667,486.1667,26.0235,n
137.9226,231.3333,99.3667,641.8667,40.4909,n
105.1000,206.8000,97.0000,564.2000,21.3035,n
132.3866,203.7333,95.8000,531.8667,53.5968,n
